startup_or_product,relation_type,sector,usage_pattern,geography_bucket,country,organization,organization_type,source_type,source_name,source_url,published_date,summary,why_it_matters
Jotform Enterprise,смежный продукт,Образование,формы и workflow,Global,США,University of Michigan,вуз,официальная новость,Jotform Newsletters,https://www.jotform.com/newsletters/how-the-university-of-michigan-runs-athletics-and-events-with-jotform-enterprise/,2023-12-01,"University of Michigan Athletics использует Jotform Enterprise для форм, сбора платежей, автоматизации PDF-квитанций, туров по стадиону, аренды площадок и событийных сценариев.","Показывает, что университету нужен не просто конструктор форм, а платформа для межфункциональных процессов, платежей и автоматизации административных сценариев."
Jotform Enterprise,смежный продукт,Образование,формы и workflow,Global,США,Miami-Dade County Public Schools,школьный округ,кейс,Jotform Customer Stories,https://www.jotform.com/customer-stories/miami-dade-county-public-schools/,,"Округ автоматизировал регистрации, учет посещаемости, IT-заявки и обязательные административные процессы через Jotform Enterprise на масштабе 345 школ.","Сильный сигнал, что формы плюс workflow и отчетность продаются не только в вузах, но и в крупной образовательной сети с распределенной структурой."
Jotform Enterprise,смежный продукт,Образование,формы и workflow,Global,ЮАР,North-West University,вуз,официальная новость,Jotform Blog,https://www.jotform.com/blog/case-study-north-west-university/,2025-11-21,"North-West University перевел обработку заявок провайдеров студенческого жилья в Jotform Enterprise и автоматизировал перенос данных в Excel, сократив 46 рабочих дней админвремени.","Очень близко к университетскому сценарию: прием заявок, маршрутизация, контроль качества данных и совместная обработка без тяжелой разработки."
SurveyMonkey Apply,смежный продукт,Образование,формы и workflow,Global,США,University of Wisconsin-Madison,вуз,отраслевая страница,SurveyMonkey for Education,https://www.surveymonkey.com/industries/education/,,"SurveyMonkey использует кейс University of Wisconsin-Madison как доказательство пригодности Apply для приема, стипендий и управления заявками.",Подтверждает спрос на связку анкета плюс кабинет заявителя плюс маршрутизация и проверка заявок в высшем образовании.
Julius AI,рыночный сигнал,Образование,AI-анализ данных,Global,Global,Университеты и исследовательские программы,университетская система,официальная страница продукта,Julius for Universities,https://dev.julius.ai/universities,,"Julius выделяет отдельный университетский сценарий: AI-помощник по статистике для студентов, graduate programs, undergraduate programs и исследователей.","Сигнализирует, что AI-анализ данных уже продается в академический контур как самостоятельная ценность, а не только как BI для бизнеса."
Quadratic,рыночный сигнал,Образование,Excel/CSV-анализ,Global,Global,"Студенты, преподаватели и исследователи",университетская система,официальная страница продукта,Quadratic Docs,https://docs.quadratichq.com/quadratic-for-education/overview,,"Quadratic продвигает отдельный тариф для образования для студентов, преподавателей и исследователей как AI-таблицу для обучения аналитике и работы с данными.","Это прямой сигнал, что spreadsheet plus AI и prompt-driven анализ уже упаковывается под образовательный сегмент."
Jotform Enterprise,смежный продукт,Гос и администрации,формы и workflow,Global,США,County of Marin,администрация округа,кейс,Jotform Customer Stories,https://www.jotform.com/customer-stories/county-of-marin/,,"County of Marin использует Jotform Enterprise для перевода бумажных процессов в цифру, регистрации на мероприятия, агросертификации, интеграции с хранилищами и сбора COVID-данных.","Хороший аналог для администраций и подведомственных структур: много типов форм, межведомственные процессы, интеграции и требования к отслеживаемости."
Jotform Enterprise,смежный продукт,Гос и администрации,формы и workflow,Global,США,The City of Chandler,городская администрация,официальная новость,Jotform Newsletters,https://www.jotform.com/newsletters/how-chandler-arizona-is-going-paperless-with-jotform-enterprise/,2024-01-01,"Город Chandler перевел сотни бумажных форм в Jotform Enterprise, автоматизировал согласования и упростил отчетность и HR-процессы.","Подтверждает, что муниципалитеты покупают не просто опросы, а цифровой слой для бумажно-насыщенных внутренних и внешних процессов."
Jotform,смежный продукт,Гос и администрации,опросы и обратная связь,Global,США,"Park County Health, Montana",окружное ведомство здравоохранения,кейс,Jotform Customer Stories,https://www.jotform.com/customer-stories/park-county-montana/,,"Park County Health использовал Jotform для consent collection, contact tracing, вакцинационных опросов и перехода с бумаги на онлайн-формы.",Показывает пригодность lightweight-платформы для массового полевого сбора данных и быстрых административных кампаний.
SurveyMonkey,смежный продукт,Гос и администрации,опросы и обратная связь,Global,США,"Федеральные, региональные и местные органы власти США",госорган,отраслевая страница,SurveyMonkey for Government,https://www.surveymonkey.com/industries/government/,,"SurveyMonkey продвигает отдельный сегмент для федеральных, штатных и местных органов, с кейсом команды Джины Раймондо, которая начала опрос населения через 11 дней после старта работы с платформой.","Сильный сигнал, что госорганам нужен быстрый запуск опросов с безопасностью, шаблонами и базовой аналитикой без долгого внедрения."
SurveyMonkey,рыночный сигнал,Гос и администрации,опросы и обратная связь,Global,США,Федеральные агентства США,ФОИВ,официальная новость,SurveyMonkey Curiosity,https://www.surveymonkey.com/curiosity/surveymonkey-for-government/,,SurveyMonkey отдельно сообщает о федеральном статусе поставщика и согласованных Terms of Use для федеральных агентств США.,"Для `moreforms` это полезный ориентир по барьерам закупки: безопасность, правовые условия и стандартизированное подключение резко снижают барьер входа в госсегменте."
Платформа «Неравнодушный человек»,локальный аналог,Образование,опросы и обратная связь,Россия,Россия,НГТУ им. Р.Е. Алексеева,вуз,официальная новость,НГТУ им. Р.Е. Алексеева,https://www.nntu.ru/news/detail/zhizn-v-ngtu/vse-novosti/opros-platformy-neravnodushnyi-chelovek-o-kachestve,,НГТУ публикует отдельные опросы на платформе «Неравнодушный человек» по качеству образования и студенческому предпринимательству.,"Это прямой российский сигнал на вузовый сценарий: регулярный сбор обратной связи, сегментирование респондентов и быстрая управленческая аналитика по кампусу."
Платформа «Неравнодушный человек»,локальный аналог,Образование,опросы и обратная связь,Россия,Россия,Тюменский государственный университет,вуз,официальная новость,ТюмГУ,https://www.utmn.ru/studentam/novosti/1243223/,,"ТюмГУ использует платформу для опроса первокурсников об адаптации, качестве образовательной среды и влиянии на вузовую и городскую среду.",Очень близкий паттерн к стартовому сегменту `moreforms`: массовые университетские опросы с управленческими выводами и потенциальной сегментацией по ролям.
Платформа «Неравнодушный человек»,локальный аналог,Образование,опросы и обратная связь,Россия,Россия,Томский государственный университет,вуз,официальная новость,ТГУ,https://news.tsu.ru/news/analitiki-vyyasnili-mnenie-molodezhi-ob-ii-i-universitetakh/,,"ТГУ, ВЦИОМ и платформа «Неравнодушный человек» публикуют совместный проект с опросами студентов и анализом отношения к университетам, ИИ и будущему трудоустройства.","Связка опросов, больших массивов цифровых следов и аналитики по студенческому опыту почти напрямую указывает на будущий контур `forms + analytics` для вузов."
Платформа «Неравнодушный человек»,локальный аналог,Образование,опросы и обратная связь,Россия,Россия,Российские вузы,университетская система,официальная новость,ТГУ,https://news.tsu.ru/projects/university-in-details/v-rossii-rastet-chislo-studentov-dovolnykh-svoim-vuzom/,,По данным партнерского опроса ВЦИОМ и платформы «Неравнодушный человек» были опрошены 87 333 студента вузов по всей стране по вопросам качества обучения.,"Это подтверждает, что на российском вузовом рынке есть место для национально масштабируемых survey-платформ с последующей аналитикой результатов."
Платформа «Неравнодушный человек»,локальный аналог,Гос и администрации,опросы и обратная связь,Россия,Россия,Общественные советы при МВД России,ведомство / общественные советы,официальная новость,МВД Медиа,https://mvdmedia.ru/publications/police-of-russia/sluzhba-pol/vostrebovan-neravnodushnyy-chelovek/,,"МВД Медиа пишет, что платформа «Неравнодушный человек», разработанная при участии сотрудников МВД России, используется для размещения проектов общественников, получения обратной связи и проведения онлайн-круглых столов; к ней подключено 1,5 млн пользователей.","Это редкий российский пример платформы обратной связи, реально встроенной в ведомственный и общественный контур с масштабом и институциональной поддержкой."
Сервисы Минобрнауки России / Госуслуги,рыночный сигнал,Гос и администрации,опросы и обратная связь,Россия,Россия,Минобрнауки России,ФОИВ,официальная новость,Минобрнауки России,https://minobrnauki.gov.ru/press-center/news/nauka-i-obrazovanie/97615/,2025-06-02,Минобрнауки запустило электронное анкетирование граждан по качеству предоставления государственных услуг в рамках проекта «Государство для людей».,"Подтверждает прямой спрос ФОИВ на опросные контуры для оценки качества услуг, а значит и на удобный сбор ответов, дашборды и улучшение процессов по обратной связи."
Сервисы Минобрнауки России / Госуслуги,рыночный сигнал,Гос и администрации,формы и workflow,Россия,Россия,Минобрнауки России,ФОИВ,официальная новость,Минобрнауки России,https://minobrnauki.gov.ru/press-center/news/nauka-i-obrazovanie/98967/,2025-11-05,Минобрнауки совместно с Минцифры запустило на Госуслугах лендинг «Государственные услуги в сфере науки» как цифровой сервис для навигации по услугам министерства.,"Это сигнал в сторону клиентских сценариев ФОИВ: единая точка входа, структурированные заявки, переиспользуемые формы и сервисная аналитика."
